Run Number,Normal Fertility Rate,Normal Death Risk,Max chicken capacity,Initial number of eggs,Initial chicken population,Eggs,Chickens
Run 1,0.02,0.02,1000.0,500.0,500.0,"0     500.000000
1     420.000000
2     356.000000
3     304.800000
4     263.840000
5     231.072000
6     204.857600
7     183.886080
8     167.108864
9     153.687091
10    142.949673
11    134.359738
12    127.487791
13    121.990233
14    117.592186
15    114.073749
16    111.258999
17    109.007199
18    107.205759
19    105.764608
20    104.611686
21    103.689349
22    102.951479
23    102.361183
24    101.888947
25    101.511157
26    101.208926
27    100.967141
28    100.773713
29    100.618970
30    100.495176
31    100.396141
32    100.316913
33    100.253530
34    100.202824
35    100.162259
36    100.129807
37    100.103846
38    100.083077
39    100.066461
40    100.053169
41    100.042535
42    100.034028
43    100.027223
44    100.021778
45    100.017422
46    100.013938
47    100.011150
48    100.008920
49    100.007136
50    100.005709
Name: Eggs, dtype: float64","0     500.000000
1     595.000000
2     671.919500
3     734.089984
4     784.272222
5     824.738563
6     857.349089
7     883.619660
8     904.781202
9     921.830394
10    935.572387
11    946.656408
12    955.605188
13    962.839121
14    968.695984
15    973.446983
16    977.309752
17    980.458865
18    983.034313
19    985.148336
20    986.890912
21    988.334176
22    989.535957
23    990.542625
24    991.391368
25    992.112020
26    992.728526
27    993.260113
28    993.722228
29    994.127293
30    994.485306
31    994.804320
32    995.090836
33    995.350103
34    995.586372
35    995.803093
36    996.003069
37    996.188588
38    996.361523
39    996.523413
40    996.675527
41    996.818918
42    996.954466
43    997.082908
44    997.204866
45    997.320871
46    997.431377
47    997.536777
48    997.637415
49    997.733591
50    997.825572
Name: Chickens, dtype: float64"
Run 2,0.02,0.02,1000.0,500.0,800.0,"0     500.000000
1     420.000000
2     356.000000
3     304.800000
4     263.840000
5     231.072000
6     204.857600
7     183.886080
8     167.108864
9     153.687091
10    142.949673
11    134.359738
12    127.487791
13    121.990233
14    117.592186
15    114.073749
16    111.258999
17    109.007199
18    107.205759
19    105.764608
20    104.611686
21    103.689349
22    102.951479
23    102.361183
24    101.888947
25    101.511157
26    101.208926
27    100.967141
28    100.773713
29    100.618970
30    100.495176
31    100.396141
32    100.316913
33    100.253530
34    100.202824
35    100.162259
36    100.129807
37    100.103846
38    100.083077
39    100.066461
40    100.053169
41    100.042535
42    100.034028
43    100.027223
44    100.021778
45    100.017422
46    100.013938
47    100.011150
48    100.008920
49    100.007136
50    100.005709
Name: Eggs, dtype: float64","0      800.000000
1      887.200000
2      955.457523
3     1008.399542
4     1049.022149
5     1079.781200
6     1102.677051
7     1119.330637
8     1131.049832
9     1138.886130
10    1143.682316
11    1146.112066
12    1146.712556
13    1145.911120
14    1144.046921
15    1141.388491
16    1138.147887
17    1134.492075
18    1130.552069
19    1126.430261
20    1122.206280
21    1117.941679
22    1113.683677
23    1109.468146
24    1105.321991
25    1101.265046
26    1097.311584
27    1093.471515
28    1089.751344
29    1086.154926
30    1082.684070
31    1079.339009
32    1076.118783
33    1073.021533
34    1070.044735
35    1067.185385
36    1064.440144
37    1061.805449
38    1059.277602
39    1056.852837
40    1054.527371
41    1052.297445
42    1050.159354
43    1048.109466
44    1046.144242
45    1044.260242
46    1042.454137
47    1040.722712
48    1039.062867
49    1037.471618
50    1035.946098
Name: Chickens, dtype: float64"
Run 3,0.02,0.02,1000.0,500.0,1100.0,"0     500.000000
1     420.000000
2     356.000000
3     304.800000
4     263.840000
5     231.072000
6     204.857600
7     183.886080
8     167.108864
9     153.687091
10    142.949673
11    134.359738
12    127.487791
13    121.990233
14    117.592186
15    114.073749
16    111.258999
17    109.007199
18    107.205759
19    105.764608
20    104.611686
21    103.689349
22    102.951479
23    102.361183
24    101.888947
25    101.511157
26    101.208926
27    100.967141
28    100.773713
29    100.618970
30    100.495176
31    100.396141
32    100.316913
33    100.253530
34    100.202824
35    100.162259
36    100.129807
37    100.103846
38    100.083077
39    100.066461
40    100.053169
41    100.042535
42    100.034028
43    100.027223
44    100.021778
45    100.017422
46    100.013938
47    100.011150
48    100.008920
49    100.007136
50    100.005709
Name: Eggs, dtype: float64","0     1100.000000
1     1175.800000
2     1232.149887
3     1272.986020
4     1301.536152
5     1320.424225
6     1331.768222
7     1337.267610
8     1338.279133
9     1335.881085
10    1330.926938
11    1324.089542
12    1315.897228
13    1306.763075
14    1297.008527
15    1286.882342
16    1276.575769
17    1266.234655
18    1255.969090
19    1245.861075
20    1235.970600
21    1226.340471
22    1217.000122
23    1207.968632
24    1199.257104
25    1190.870541
26    1182.809320
27    1175.070347
28    1167.647969
29    1160.534676
30    1153.721655
31    1147.199217
32    1140.957125
33    1134.984844
34    1129.271738
35    1123.807210
36    1118.580809
37    1113.582310
38    1108.801768
39    1104.229556
40    1099.856390
41    1095.673342
42    1091.671848
43    1087.843705
44    1084.181071
45    1080.676455
46    1077.322707
47    1074.113010
48    1071.040865
49    1068.100079
50    1065.284750
Name: Chickens, dtype: float64"
Run 4,0.02,0.02,1000.0,800.0,500.0,"0     800.000000
1     660.000000
2     548.000000
3     458.400000
4     386.720000
5     329.376000
6     283.500800
7     246.800640
8     217.440512
9     193.952410
10    175.161928
11    160.129542
12    148.103634
13    138.482907
14    130.786326
15    124.629060
16    119.703248
17    115.762599
18    112.610079
19    110.088063
20    108.070451
21    106.456360
22    105.165088
23    104.132071
24    103.305657
25    102.644525
26    102.115620
27    101.692496
28    101.353997
29    101.083198
30    100.866558
31    100.693246
32    100.554597
33    100.443678
34    100.354942
35    100.283954
36    100.227163
37    100.181730
38    100.145384
39    100.116307
40    100.093046
41    100.074437
42    100.059549
43    100.047640
44    100.038112
45    100.030489
46    100.024391
47    100.019513
48    100.015611
49    100.012488
50    100.009991
Name: Eggs, dtype: float64","0      500.000000
1      655.000000
2      778.419500
3      875.900762
4      952.236719
5     1011.445623
6     1056.860378
7     1091.221461
8     1116.766304
9     1135.311067
10    1148.322924
11    1156.982399
12    1162.236142
13    1164.841012
14    1165.400501
15    1164.394600
16    1162.204116
17    1159.130398
18    1155.411252
19    1151.233765
20    1146.744594
21    1142.058220
22    1137.263553
23    1132.429203
24    1127.607699
25    1122.838848
26    1118.152411
27    1113.570239
28    1109.107965
29    1104.776355
30    1100.582378
31    1096.530058
32    1092.621144
33    1088.855644
34    1085.232248
35    1081.748655
36    1078.401843
37    1075.188265
38    1072.104015
39    1069.144951
40    1066.306794
41    1063.585200
42    1060.975818
43    1058.474334
44    1056.076504
45    1053.778174
46    1051.575303
47    1049.463969
48    1047.440379
49    1045.500875
50    1043.641931
Name: Chickens, dtype: float64"
Run 5,0.02,0.02,1000.0,800.0,800.0,"0     800.000000
1     660.000000
2     548.000000
3     458.400000
4     386.720000
5     329.376000
6     283.500800
7     246.800640
8     217.440512
9     193.952410
10    175.161928
11    160.129542
12    148.103634
13    138.482907
14    130.786326
15    124.629060
16    119.703248
17    115.762599
18    112.610079
19    110.088063
20    108.070451
21    106.456360
22    105.165088
23    104.132071
24    103.305657
25    102.644525
26    102.115620
27    101.692496
28    101.353997
29    101.083198
30    100.866558
31    100.693246
32    100.554597
33    100.443678
34    100.354942
35    100.283954
36    100.227163
37    100.181730
38    100.145384
39    100.116307
40    100.093046
41    100.074437
42    100.059549
43    100.047640
44    100.038112
45    100.030489
46    100.024391
47    100.019513
48    100.015611
49    100.012488
50    100.009991
Name: Eggs, dtype: float64","0      800.000000
1      947.200000
2     1061.256243
3     1148.330947
4     1213.637668
5     1261.523340
6     1295.569717
7     1318.699859
8     1333.280601
9     1341.215960
10    1344.029237
11    1342.933331
12    1338.889841
13    1332.658047
14    1324.835079
15    1315.888585
16    1306.183141
17    1296.001503
18    1285.561625
19    1275.030267
20    1264.533836
21    1254.167009
22    1243.999584
23    1234.081902
24    1224.449153
25    1215.124770
26    1206.123111
27    1197.451576
28    1189.112270
29    1181.103309
30    1173.419848
31    1166.054877
32    1158.999847
33    1152.245153
34    1145.780511
35    1139.595240
36    1133.678484
37    1128.019379
38    1122.607171
39    1117.431310
40    1112.481517
41    1107.747824
42    1103.220606
43    1098.890602
44    1094.748919
45    1090.787037
46    1086.996808
47    1083.370445
48    1079.900517
49    1076.579937
50    1073.401947
Name: Chickens, dtype: float64"
Run 6,0.02,0.02,1000.0,800.0,1100.0,"0     800.000000
1     660.000000
2     548.000000
3     458.400000
4     386.720000
5     329.376000
6     283.500800
7     246.800640
8     217.440512
9     193.952410
10    175.161928
11    160.129542
12    148.103634
13    138.482907
14    130.786326
15    124.629060
16    119.703248
17    115.762599
18    112.610079
19    110.088063
20    108.070451
21    106.456360
22    105.165088
23    104.132071
24    103.305657
25    102.644525
26    102.115620
27    101.692496
28    101.353997
29    101.083198
30    100.866558
31    100.693246
32    100.554597
33    100.443678
34    100.354942
35    100.283954
36    100.227163
37    100.181730
38    100.145384
39    100.116307
40    100.093046
41    100.074437
42    100.059549
43    100.047640
44    100.038112
45    100.030489
46    100.024391
47    100.019513
48    100.015611
49    100.012488
50    100.009991
Name: Eggs, dtype: float64","0     1100.000000
1     1235.800000
2     1337.255967
3     1411.090897
4     1462.947346
5     1497.487048
6     1518.512898
7     1529.095430
8     1531.692901
9     1528.259341
10    1520.338291
11    1509.142106
12    1495.617816
13    1480.501090
14    1464.360002
15    1447.630263
16    1430.643407
17    1413.649246
18    1396.833682
19    1380.332811
20    1364.244050
21    1348.634904
22    1333.549854
23    1319.015767
24    1305.046129
25    1291.644353
26    1278.806355
27    1266.522565
28    1254.779476
29    1243.560845
30    1232.848613
31    1222.623610
32    1212.866090
33    1203.556126
34    1194.673915
35    1186.199988
36    1178.115371
37    1170.401687
38    1163.041231
39    1156.017009
40    1149.312764
41    1142.912977
42    1136.802863
43    1130.968358
44    1125.396097
45    1120.073392
46    1114.988202
47    1110.129106
48    1105.485276
49    1101.046444
50    1096.802877
Name: Chickens, dtype: float64"
Run 7,0.02,0.02,1000.0,1100.0,500.0,"0     1100.000000
1      900.000000
2      740.000000
3      612.000000
4      509.600000
5      427.680000
6      362.144000
7      309.715200
8      267.772160
9      234.217728
10     207.374182
11     185.899346
12     168.719477
13     154.975581
14     143.980465
15     135.184372
16     128.147498
17     122.517998
18     118.014399
19     114.411519
20     111.529215
21     109.223372
22     107.378698
23     105.902958
24     104.722366
25     103.777893
26     103.022315
27     102.417852
28     101.934281
29     101.547425
30     101.237940
31     100.990352
32     100.792282
33     100.633825
34     100.507060
35     100.405648
36     100.324519
37     100.259615
38     100.207692
39     100.166153
40     100.132923
41     100.106338
42     100.085071
43     100.068056
44     100.054445
45     100.043556
46     100.034845
47     100.027876
48     100.022301
49     100.017841
50     100.014272
Name: Eggs, dtype: float64","0      500.000000
1      715.000000
2      884.775500
3     1017.118946
4     1118.828327
5     1195.712791
6     1252.654209
7     1293.700158
8     1322.169996
9     1340.761758
10    1351.652462
11    1356.588011
12    1356.961259
13    1353.878277
14    1348.213666
15    1340.656157
16    1331.745853
17    1321.904412
18    1311.459386
19    1300.663751
20    1289.711531
21    1278.750258
22    1267.890888
23    1257.215681
24    1246.784447
25    1236.639491
26    1226.809525
27    1217.312756
28    1208.159320
29    1199.353197
30    1190.893720
31    1182.776751
32    1174.995605
33    1167.541768
34    1160.405457
35    1153.576053
36    1147.042428
37    1140.793205
38    1134.816945
39    1129.102294
40    1123.638085
41    1118.413418
42    1113.417714
43    1108.640748
44    1104.072674
45    1099.704033
46    1095.525765
47    1091.529200
48    1087.706055
49    1084.048426
50    1080.548775
Name: Chickens, dtype: float64"
Run 8,0.02,0.02,1000.0,1100.0,800.0,"0     1100.000000
1      900.000000
2      740.000000
3      612.000000
4      509.600000
5      427.680000
6      362.144000
7      309.715200
8      267.772160
9      234.217728
10     207.374182
11     185.899346
12     168.719477
13     154.975581
14     143.980465
15     135.184372
16     128.147498
17     122.517998
18     118.014399
19     114.411519
20     111.529215
21     109.223372
22     107.378698
23     105.902958
24     104.722366
25     103.777893
26     103.022315
27     102.417852
28     101.934281
29     101.547425
30     101.237940
31     100.990352
32     100.792282
33     100.633825
34     100.507060
35     100.405648
36     100.324519
37     100.259615
38     100.207692
39     100.166153
40     100.132923
41     100.106338
42     100.085071
43     100.068056
44     100.054445
45     100.043556
46     100.034845
47     100.027876
48     100.022301
49     100.017841
50     100.014272
Name: Eggs, dtype: float64","0      800.000000
1     1007.200000
2     1166.910963
3     1287.677339
4     1376.915081
5     1440.917178
6     1484.928332
7     1513.256889
8     1529.401000
9     1536.174084
10    1535.821013
11    1530.120926
12    1520.475394
13    1507.982381
14    1493.497280
15    1477.682691
16    1461.048642
17    1443.984879
18    1426.786632
19    1409.675110
20    1392.813735
21    1376.320976
22    1360.280462
23    1344.748943
24    1329.762540
25    1315.341645
26    1301.494751
27    1288.221442
28    1275.514723
29    1263.362823
30    1251.750596
31    1240.660592
32    1230.073889
33    1219.970710
34    1210.330904
35    1201.134298
36    1192.360956
37    1183.991367
38    1176.006578
39    1168.388287
40    1161.118894
41    1154.181537
42    1147.560104
43    1141.239235
44    1135.204306
45    1129.441419
46    1123.937372
47    1118.679636
48    1113.656329
49    1108.856181
50    1104.268508
Name: Chickens, dtype: float64"
Run 9,0.02,0.02,1000.0,1100.0,1100.0,"0     1100.000000
1      900.000000
2      740.000000
3      612.000000
4      509.600000
5      427.680000
6      362.144000
7      309.715200
8      267.772160
9      234.217728
10     207.374182
11     185.899346
12     168.719477
13     154.975581
14     143.980465
15     135.184372
16     128.147498
17     122.517998
18     118.014399
19     114.411519
20     111.529215
21     109.223372
22     107.378698
23     105.902958
24     104.722366
25     103.777893
26     103.022315
27     102.417852
28     101.934281
29     101.547425
30     101.237940
31     100.990352
32     100.792282
33     100.633825
34     100.507060
35     100.405648
36     100.324519
37     100.259615
38     100.207692
39     100.166153
40     100.132923
41     100.106338
42     100.085071
43     100.068056
44     100.054445
45     100.043556
46     100.034845
47     100.027876
48     100.022301
49     100.017841
50     100.014272
Name: Eggs, dtype: float64","0     1100.000000
1     1295.800000
2     1442.218047
3     1548.618189
4     1623.053823
5     1672.287749
6     1701.892823
7     1716.392839
8     1719.415792
9     1713.842410
10    1701.940840
11    1685.483624
12    1665.846392
13    1644.089403
14    1621.023920
15    1597.265642
16    1573.277366
17    1549.402832
18    1525.893449
19    1502.929312
20    1480.635686
21    1459.095888
22    1438.361346
23    1418.459419
24    1399.399468
25    1381.177564
26    1363.780113
27    1347.186652
28    1331.371985
29    1316.307814
30    1301.963974
31    1288.309358
32    1275.312608
33    1262.942620
34    1251.168903
35    1239.961843
36    1229.292865
37    1219.134550
38    1209.460692
39    1200.246327
40    1191.467733
41    1183.102410
42    1175.129052
43    1167.527500
44    1160.278702
45    1153.364658
46    1146.768368
47    1140.473783
48    1134.465750
49    1128.729959
50    1123.252901
Name: Chickens, dtype: float64"
Run 10,0.02,0.02,1500.0,500.0,500.0,"0     500.000000
1     430.000000
2     374.000000
3     329.200000
4     293.360000
5     264.688000
6     241.750400
7     223.400320
8     208.720256
9     196.976205
10    187.580964
11    180.064771
12    174.051817
13    169.241453
14    165.393163
15    162.314530
16    159.851624
17    157.881299
18    156.305039
19    155.044032
20    154.035225
21    153.228180
22    152.582544
23    152.066035
24    151.652828
25    151.322263
26    151.057810
27    150.846248
28    150.676998
29    150.541599
30    150.433279
31    150.346623
32    150.277299
33    150.221839
34    150.177471
35    150.141977
36    150.113581
37    150.090865
38    150.072692
39    150.058154
40    150.046523
41    150.037218
42    150.029775
43    150.023820
44    150.019056
45    150.015245
46    150.012196
47    150.009757
48    150.007805
49    150.006244
50    150.004995
Name: Eggs, dtype: float64","0      500.000000
1      596.666667
2      677.919852
3      746.592181
4      805.000182
5      855.031845
6      898.221719
7      935.814436
8      968.817851
9      998.047128
10    1024.161062
11    1047.691843
12    1069.069354
13    1088.640927
14    1106.687364
15    1123.435904
16    1139.070700
17    1153.741264
18    1167.569272
19    1180.654040
20    1193.076927
21    1204.904871
22    1216.193231
23    1226.988060
24    1237.327937
25    1247.245431
26    1256.768268
27    1265.920277
28    1274.722138
29    1283.191984
30    1291.345881
31    1299.198215
32    1306.761993
33    1314.049093
34    1321.070461
35    1327.836260
36    1334.356000
37    1340.638637
38    1346.692651
39    1352.526108
40    1358.146714
41    1363.561852
42    1368.778616
43    1373.803839
44    1378.644110
45    1383.305793
46    1387.795044
47    1392.117815
48    1396.279873
49    1400.286801
50    1404.144008
Name: Chickens, dtype: float64"
